ID,Start time,Completion time,Email,Name,How many hours a week do you currently work and/or attend class?,How many people do you currently live with?,How many hours a week do you currently spend on making or fixing things as a hobby?,Do you have pets? How many?,Do you feel like you decide how your day goes?,How many hours a week do you currently spend studying outside of class?,How many hours a week do you currently spend socializing with your social inner circle?,Do you currently work from home?,How many hours a week do you currently spend exercising?,"At the end of the week, do you feel like you have more or less things on your To-do list?",Do you feel that the quarantine has made you more or less connected to others?,How old are you?,"How many hours a week do you currently spend socializing with people who aren't in your inner circle, outside of work/class?",How do you feel going throughout your day?,How many hours a night do you sleep?,"Do you feel that the quarantine has resulted in spending more or less time talking with your boss, teachers, and work peers?",Do you feel like you decide what’s on your To-do list?,How many hours a day do you spend outside?,"Do you currently feel like you are more rested, or overworked?",How many hours a week do you spend reading something you enjoy?,.,How many hours a week are accounted for?,What is the average Outlook score?,What was the completion time?
31,5/13/20 11:50:23,5/13/20 11:55:54,anonymous,,6,3,6,0,7,25,7,Yes,25,Less,5,36,0,5,6,Less,5,3,5,7,,19.9,5.4,0:05:31
32,5/13/20 14:07:18,5/13/20 14:08:43,anonymous,,55,2,3,2,9,10,1,Yes,0,More,2,32,1,5,8,More,5,1,7,3,,19.4,5.6,0:01:25
33,5/13/20 14:07:35,5/13/20 14:09:29,anonymous,,40,2,4,1,7,2,2,Yes,3,More,3,35,0,5,7,Less,6,0.5,6,1,,14.9,5.4,0:01:54
34,5/13/20 14:08:04,5/13/20 14:09:56,anonymous,,40,1,4,0,7,3,2,Yes,5,Less,2,26,0,4,8,No Change,8,1,3,2,,17.0,4.8,0:01:52
35,5/13/20 14:09:17,5/13/20 14:11:44,anonymous,,40,2,2,3,2,2,2,Yes,0,More,2,31,1,2,4,Less,4,1,5,0,,11.7,3,0:02:27
36,5/13/20 14:09:41,5/13/20 14:12:46,anonymous,,62,3,2,2,8,6,4,Yes,4,No Change,5,26,2,6,7,Less,7,2,3,2,,20.7,5.8,0:03:05
37,5/13/20 14:09:24,5/13/20 14:12:55,anonymous,,15,2,15,1,7,10,2,No,2,Less,5,29,0,5,6,Less,4,10,4,3,,22.7,5,0:03:31
38,5/13/20 14:09:30,5/13/20 14:13:04,anonymous,,7,4,4,0,10,10,16,No,2,More,8,29,0,2,8,Less,7,1,7,4,,15.1,6.8,0:03:34
39,5/13/20 14:09:55,5/13/20 14:13:30,anonymous,,30,3,3,0,7,3,0.5,Yes,2,More,3,47,0,7,8,No Change,6,0.5,7,3,,14.4,6,0:03:35
40,5/13/20 14:10:23,5/13/20 14:13:40,anonymous,,60,3,0,3,5,14,0,No,0,More,4,50,0,5,6,Less,5,2,10,0,,18.6,5.8,0:03:17
41,5/13/20 14:11:43,5/13/20 14:13:40,anonymous,,52,1,2,2,7,1,0,No,0,No Change,4,29,0,4,7,More,5,0,6,0,,14.9,5.2,0:01:57
42,5/13/20 14:09:55,5/13/20 14:13:52,anonymous,,55,2,5,0,10,4,1,Yes,3,No Change,5,29,0,5,8,Less,10,0,2,0,,17.7,6.4,0:03:57
43,5/13/20 14:10:11,5/13/20 14:14:15,anonymous,,15,2,0,0,10,20,1,No,0,No Change,3,50,0,8,8,No Change,8,0,0,0,,13.1,5.8,0:04:04
44,5/13/20 14:13:36,5/13/20 14:16:22,anonymous,,67,4,0,0,4,5,2,No,3,More,7,38,0,3,5,Less,4,0.5,9,5,,17.2,5.4,0:02:46
